"b1_3"     "a1"     "c1"     "b2_3"     "a2"     "c2"     "b3"     "a3"     "c3"     "Y1_gamma1"     "Y1_gamma2"     "LogPost"     "k1_11"     "k2_11"     "k3_11"     "ktype1_11"     "ktype2_11"     "ktype3_11"
-6.83622     15.7208     1.69405     -1.78656     133.486     1.71396     7.80504     74.4716     1.64887     97.0497     0.00253814     -2121.59     -3.63113     -1.39237     7.80504     0     3     0
-8.14319     13.6615     1.64236     -1.79638     132.653     1.71451     8.46747     94.7111     1.6639     94.7716     0.00193116     -2113.55     -3.8867     -1.25706     8.46747     0     3     0
-7.97871     11.3113     1.66161     -1.79638     131.839     1.71588     8.39512     103.129     1.6526     93.3763     0.00193116     -2114.96     -3.91695     -1.41921     8.39512     0     3     0
-2.48473     10.5266     1.64422     -1.78706     132.055     1.71708     8.30639     82.476     1.64939     102.782     0.00193116     -2129.27     -2.9218     -1.75614     8.30639     0     3     0
-8.98673     15.7267     1.66874     -1.79618     132.717     1.71452     8.841     62.1778     1.67466     111.665     0.000993084     -2123.32     -3.97719     -1.35727     8.841     0     3     0
-6.49169     15.5037     1.64945     -1.78974     132.695     1.71452     8.38699     72.5376     1.66643     85.8034     0.0034387     -2118.07     -3.97264     -1.23447     8.38699     0     3     0
-4.76883     11.6486     1.66059     -1.80986     133.503     1.71165     8.28653     90.2877     1.7038     81.9484     0.00109763     -2119.38     -3.9138     -1.45223     8.28653     0     3     0
-6.32213     12.8697     1.65392     -1.80986     134.199     1.70859     8.3817     71.1964     1.65083     96.0764     0.0024041     -2118     -3.85599     -1.42145     8.3817     0     3     0
-6.82375     15.3434     1.68841     -1.80387     133.756     1.70816     7.83582     77.73     1.6797     80.7753     0.00238911     -2119.2     -3.42906     -1.47585     7.83582     0     3     0
-10.2521     13.8809     1.68671     -1.80387     133.115     1.71297     7.8171     67.0125     1.6797     105.68     0.00198575     -2118.73     -3.70239     -1.4779     7.8171     0     3     0
-4.66746     12.8975     1.66298     -1.81859     133.663     1.71193     8.2055     90.8384     1.67114     95.7509     0.000851422     -2116.45     -3.211     -1.60823     8.2055     0     3     0
-5.7206     18.2754     1.66881     -1.81859     132.037     1.71481     8.54192     72.0544     1.65582     94.6847     0.00213182     -2113     -3.77832     -1.22618     8.54192     0     3     0
-8.62954     18.1017     1.64574     -1.75137     133.291     1.71481     8.3211     70.4071     1.65582     89.6222     0.00209347     -2118.96     -3.51977     -1.35737     8.3211     0     3     0
-6.39478     17.5814     1.64723     -1.74528     133.646     1.71599     8.89268     46.5878     1.63206     93.1247     0.00358629     -2124.44     -4.22587     -1.09434     8.89268     0     3     0
-7.10158     17.0689     1.66679     -1.75574     133.253     1.71647     8.40866     104.912     1.69685     84.5733     0.00338281     -2118.83     -3.51821     -1.18001     8.40866     0     3     0
-7.39896     14.4095     1.67042     -1.76211     133.538     1.71647     8.55765     84.6565     1.66126     88.7073     0.00338281     -2114.09     -3.64003     -1.35521     8.55765     0     3     0
-8.16677     14.9224     1.67633     -1.76211     133.858     1.71528     8.45885     93.4745     1.65228     92.9472     0.00338281     -2117.72     -3.71063     -1.31142     8.45885     0     3     0
-11.5351     13.3795     1.62962     -1.81303     133.342     1.71493     8.23575     93.0314     1.65384     90.6176     0.00127703     -2120.3     -3.78961     -1.47984     8.23575     0     3     0
-5.60445     12.1765     1.6766     -1.81543     133.465     1.71627     8.00605     83.3513     1.66633     98.3648     0.00345064     -2120.27     -3.54301     -1.56892     8.00605     0     3     0
-8.37293     14.1636     1.66728     -1.74247     132.899     1.71918     8.26754     56.3295     1.65011     92.1147     0.00456903     -2117.99     -3.83803     -1.33759     8.26754     0     3     0
-5.43556     13.7402     1.64882     -1.76687     132.779     1.71667     8.28899     47.4923     1.66822     90.9316     0.00180803     -2119.42     -3.54039     -1.45969     8.28899     0     3     0
-8.74787     14.1299     1.66026     -1.78085     132.44     1.71886     8.13985     41.106     1.66027     96.5058     0.00151635     -2116.27     -4.28887     -1.10832     8.13985     0     3     0
